,Bird,City1,City2,City3,City4,City5,City6,location1,location2,location3,location4,location5,location6
0,Aegotheles_cristatus,"Vanimo, Papua New Guinea","Madang, Papua New Guinea","Lae, Papua New Guinea",,,,"Vanimo District, Sandaun, Momase Region, Papua Niugini","Madang, Momase Region, Papua Niugini","Lae, Lae District, Morobe, Momase Region, Papua Niugini","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
1,Agelaius_phoeniceus,"Vancouver, Canada","Seattle, US","Tacoma, US",,,,"Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, Canada","Seattle, King County, Washington, United States","Tacoma, Pierce County, Washington, United States","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
2,Alaemon_alaudipes,"Tehran, Iran","Tabriz, Iran",,,,,"شهر تهران, بخش مرکزی شهرستان تهران, شهرستان تهران, استان تهران, ایران","شهر تبریز, بخش مرکزی شهرستان تبریز, شهرستان تبریز, استان آذربایجان شرقی, ایران","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
3,Alectoris_chukar,"Penticton, Canada","Kelowna, Canada","Kamloops, Canada",,,,"Penticton, Regional District of Okanagan-Similkameen, British Columbia, Canada","Kelowna, Regional District of Central Okanagan, British Columbia, Canada","Kamloops, Thompson-Nicola Regional District, British Columbia, Canada","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
4,Anhinga_anhinga,"Savannah, US","Charleston, US","Jacksonville, US","Wilmington, US",,,"Savannah, Chatham County, Georgia, United States","Charleston, Charleston County, South Carolina, United States","Jacksonville, Duval County, Florida, United States","Wilmington, New Castle County, Delaware, United States","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
5,Athene_cunicularia,"Bakersfield, CA","Fresno, CA","San Francisco, CA","San Jose, CA",,,"Bakersfield, Kern County, California, United States","Fresno, Fresno County, California, United States","San Francisco, San Francisco City and County, San Francisco, California, United States","San Jose, Santa Clara County, California, United States","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
6,Aulacorhynchus_sulcatus,"Caracas, Venezuela","Medellin, Colombia","Barranquilla, Colombia",,,,"Caracas, Parroquia Catedral, Municipio Libertador, Distrito Capital, Venezuela","Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia","Barranquilla, Atlántico, Caribe, 080006, Colombia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
7,Bubo_virginianus,"Calgary, Canada","Edmonton, Canada","Vancouver, Canada","Anchorage, Alaska",,,"Calgary, Alberta, Canada","Edmonton, Edmonton (city), Alberta, Canada","Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, Canada","Anchorage, Alaska, 99501-2118, United States","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
8,Callipepla_californica,"Vernon, Canada","Kelowna, Canada","Spokane, US","Seattle, US",,,"Vernon, Regional District of North Okanagan, British Columbia, Canada","Kelowna, Regional District of Central Okanagan, British Columbia, Canada","Spokane, Spokane County, Washington, United States","Seattle, King County, Washington, United States","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
9,"Carpodacus_cassinii, (Haemorhous_cassinii)","Spokane, US","Seattle, US","Vernon, Canada","Kelowna, Canada","Kamloops, Canada",,"Spokane, Spokane County, Washington, United States","Seattle, King County, Washington, United States","Vernon, Regional District of North Okanagan, British Columbia, Canada","Kelowna, Regional District of Central Okanagan, British Columbia, Canada","Kamloops, Thompson-Nicola Regional District, British Columbia, Canada","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
10,Cathartes_aura,"Hartford, CT","Providence, RI","Worcester, MA","Boston, MA",,,"Hartford, Hartford County, Connecticut, United States","The Salvation Army of Providence, RI, 386, Broad Street, Providence, Providence County, Rhode Island, 02907, United States","Worcester, Worcester County, Massachusetts, United States","Boston, Suffolk County, Massachusetts, United States","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
11,Collocalia_esculenta,"Pathankot, India","Srinagar, India","Jammu, India",,,,"Pathankot, Pathankot Tahsil, Pathankot district, Punjab, 145001, India","Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190008, India","Jammu, Jammu Division, Jammu District, Jammu and Kashmir, 180001, India","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
12,"Collocalia_vanikorensis, (Aerodramus_vanikorensis)","San Fernando, Philippines","Baguio, Philippines","Santiago, Philippines","Tuguegarao, Philippines",,,"San Fernando, Bukidnon, Northern Mindanao, 8711, Luzon","Baguio, Benguet, Cordillera Administrative Region, 2600, Luzon","Santiago, Isabela, Cagayan Valley, 3311, Luzon","Tuguegarao, Cagayan, Cagayan Valley, 3500, Luzon","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
13,Coragyps_atratus,"Plattsburgh, NY","Burlington, Vermont","Manchester, New Hampshire",,,,"Plattsburgh, Clinton County, New York, United States","Burlington, Chittenden County, Vermont, United States","Manchester, Hillsborough County, New Hampshire, United States","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
14,Coturnix_japonica,"Vorkuta, Russia","Yakutsk, Russia","Norlisk, Russia","Murmansk, Russia",,,"Воркута, городской округ Воркута, Республика Коми, Северо-Западный федеральный округ, Россия","Якутск, городской округ Якутск, Республика Саха (Якутия), Дальневосточный федеральный округ, Россия",,"Мурманск, городской округ Мурманск, Мурманская область, Северо-Западный федеральный округ, Россия","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
