,Bird,City1,City2,City3,City4,City5,City6,location1,location2,location3,location4,location5,location6
0,Aegotheles_cristatus,"Geelong, Australia","Melbourne, Australia","Launceston, Australia","Hobart, Australia",,,"Geelong, Victoria, 3220, Australia","Melbourne, City of Melbourne, Victoria, Australia","Launceston, City of Launceston, Tasmania, 7250, Australia","Hobart, City of Hobart, Tasmania, Australia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
1,Agelaius_phoeniceus,"Masaya, Nicaragua","Managua, Nicaragua","Liberia, Costa Rica",,,,"Masaya, Nicaragua","Managua (Municipio), Departamento de Managua, 10000 (CODIGO MAESTRO), Nicaragua","Liberia, Cantón Liberia, Provincia Guanacaste, 50101, Costa Rica","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
2,Alaemon_alaudipes,"Kismayo, Somalia","Merca, Somalia","Mogadishu, Somalia",,,,"Kismayo, Jubbada Hoose جوبا السفلى, SA-3805-A01-001, Soomaaliya الصومال","Marka, Shabeellaha Hoose شبيلي السفلى, Soomaaliya الصومال","Muqdisho مقديشو, Mogadishu مقديشو, Banaadir بنادر, 2561, Soomaaliya الصومال","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
3,Alectoris_chukar,"Sacramento, US","Salt Lake City, US","Las Vegas, US",,,,"Sacramento, Sacramento County, California, United States","Salt Lake City, Salt Lake County, Utah, United States","Las Vegas, Clark County, Nevada, United States","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
4,Anhinga_anhinga,"Encarnacion, Paraguay","Capiata, Paraguay","Asuncion, Paraguay",,,,"Encarnación, Itapúa, Región Oriental, 6000, Paraguay","Capiatá, Central, Región Oriental, 1237, Paraguay","Distrito Capital de Paraguay, Asunción, Región Oriental, Paraguay","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
5,Athene_cunicularia,"Trelew, Argentina","Comodoro Rivadavia, Argentina","Rio Gallegos, Argentina",,,,"Trelew, Municipio de Trelew, Departamento Rawson, Chubut, U9100, Argentina","Comodoro Rivadavia, Jardín, Río Gallegos, Municipio de Río Gallegos, Güer Aike, Santa Cruz, ´9400, Argentina","Río Gallegos, Municipio de Río Gallegos, Güer Aike, Santa Cruz, Argentina","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
6,Aulacorhynchus_sulcatus,"Popayan, Colombian","Pitalito, Colombian","Pasto, Colombian",,,,,,"Colombian Spider Monkeys, Eve Hill, Dixons Green, Dudley, West Midlands Combined Authority, West Midlands, England, United Kingdom","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
7,Bubo_virginianus,"Tegucigalpa, Honduras","Jinotega, Nicaragua","Esteli, Nicaragua",,,,"Tegucigalpa, Distrito Central, Francisco Morazán, Honduras","Jinotega, Nicaragua","Estelí, Nicaragua","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
8,Callipepla_californica,"Tijuana, Mexico","Ensenada, Mexico","San Jose del Cabo, Mexico","Cabo San Lucas, Mexico","La Paz, Mexico",,"Tijuana, Municipio de Tijuana, Baja California, 22105, México","Ensenada, Baja California, México","San José del Cabo, Los Cabos, Baja California Sur, 23400, México","Cabo San Lucas, Los Cabos, Baja California Sur, 23470, México","La Paz, Estado de México, México","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
9,"Carpodacus_cassinii, (Haemorhous_cassinii)","Durango, Mexico","Aguacalientes, Mexico","San Luis Potosi, Mexico",,,,"Durango, México","Aguacalientes, Municipio de Zacatecas, Zacatecas, 98000, México","San Luis Potosí, México","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
