,Bird,City1-Latitude ,City1-Longitude,City2-Latitude ,City2-Longitude,City3-Latitude ,City3-Longitude,City4-Latitude ,City4-Longitude,City5-Latitude ,City5-Longitude,City6-Latitude ,City6-Longitude,City1-Latitude,City2-Latitude,City3-Latitude,City4-Latitude,City5-Latitude,City6-Latitude
0,Aegotheles_cristatus,,,,,,,,11.0480288,,11.0480288,,11.0480288,,,,46.3144754,46.3144754,46.3144754
1,Agelaius_phoeniceus,,-123.113952,,-122.3300624,,-122.4398746,,11.0480288,,11.0480288,,11.0480288,49.2608724,47.6038321,47.2495798,46.3144754,46.3144754,46.3144754
2,Alaemon_alaudipes,,51.3896004,,46.2961952,,11.0480288,,11.0480288,,11.0480288,,11.0480288,35.6892523,38.0739964,46.3144754,46.3144754,46.3144754,46.3144754
3,Alectoris_chukar,,-119.594421,,-119.4959025,,-120.339415,,11.0480288,,11.0480288,,11.0480288,49.494891,49.8879177,50.6758269,46.3144754,46.3144754,46.3144754
4,Anhinga_anhinga,,-81.0911768,,-79.9402728,,-81.655651,,-75.546589,,11.0480288,,11.0480288,32.0809263,32.7876012,30.3321838,39.7459468,46.3144754,46.3144754
5,Athene_cunicularia,,-119.0194639,,-119.70886126075588,,-122.419906,,-121.890583,,11.0480288,,11.0480288,35.3738712,36.7295295,37.7790262,37.3361905,46.3144754,46.3144754
6,Aulacorhynchus_sulcatus,,,,-75.573553,,-74.8013085,,11.0480288,,11.0480288,,11.0480288,,6.2443382,10.9799669,46.3144754,46.3144754,46.3144754
7,Bubo_virginianus,,-114.065465,,-113.507996,,-123.113952,,-149.894852,,11.0480288,,11.0480288,51.0460954,53.535411,49.2608724,61.2163129,46.3144754,46.3144754
8,Callipepla_californica,,-119.2718157,,-119.4959025,,-117.4235106,,-122.3300624,,11.0480288,,11.0480288,50.2668671,49.8879177,47.6571934,47.6038321,46.3144754,46.3144754
9,"Carpodacus_cassinii, (Haemorhous_cassinii)",,-117.4235106,,-122.3300624,,-119.2718157,,-119.4959025,,-120.339415,,11.0480288,47.6571934,47.6038321,50.2668671,49.8879177,50.6758269,46.3144754
10,Cathartes_aura,,-72.69061276146614,,-71.4214012516332,,-71.8018877,,-71.0582912,,11.0480288,,11.0480288,41.7655582,41.81297055,42.2625621,42.3602534,46.3144754,46.3144754
11,Collocalia_esculenta,,75.6528858,,74.8204443,,74.8580917,,11.0480288,,11.0480288,,11.0480288,32.2692452,34.0747444,32.7185614,46.3144754,46.3144754,46.3144754
12,"Collocalia_vanikorensis, (Aerodramus_vanikorensis)",,-61.4548264,,,,123.9721212,,,,11.0480288,,11.0480288,10.2412087,,10.2904916,,46.3144754,46.3144754
13,Coragyps_atratus,,-73.45562,,-73.212906,,-71.4547891,,11.0480288,,11.0480288,,11.0480288,44.69282,44.4761601,42.9956397,46.3144754,46.3144754,46.3144754
14,Coturnix_japonica,,64.0399469,,129.732086,,,,33.07497,,11.0480288,,11.0480288,67.4948535,62.027287,,68.970665,46.3144754,46.3144754
15,Cyanoramphus_novaezelandiae,,-99.1441352,,-99.41034185361012,,11.0480288,,11.0480288,,11.0480288,,11.0480288,23.7389846,24.85300565,46.3144754,46.3144754,46.3144754,46.3144754
16,Ducula_pistrinaria,,,,,,,,11.0480288,,11.0480288,,11.0480288,,,,46.3144754,46.3144754,46.3144754
17,Ducula_zoeae,,97.9681841,,97.1480544,,95.3192908,,98.6738261,,11.0480288,,11.0480288,4.4730892,5.1789659,5.5528455,3.5896654,46.3144754,46.3144754
18,"Eremiornis_carteri, (Megalurus_carteri or Poodytes_carteri)",,146.8239537,,145.7721854,,130.8410469,,11.0480288,,11.0480288,,11.0480288,-19.2569391,-16.9206657,-12.46044,46.3144754,46.3144754,46.3144754
19,Eremophila_alpestris,,-75.6900574,,-73.5698065,,-71.2084061,,11.0480288,,11.0480288,,11.0480288,45.4211435,45.5031824,46.8137431,46.3144754,46.3144754,46.3144754
