,Bird,City1-Latitude,City1-Longitude,City2-Latitude,City2-Longitude,City3-Latitude,City3-Longitude,City4-Latitude,City4-Longitude,City5-Latitude,City5-Longitude,City6-Latitude,City6-Longitude
0,Aegotheles_cristatus,-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
1,Agelaius_phoeniceus,12.0008289,-86.0513672,12.1459907,-86.2746665,10.6333401,-85.4362722,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
2,Alaemon_alaudipes,-0.52111695,41.98535811,1.6530383,44.77596668,2.0349312,45.3419183,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
3,Alectoris_chukar,38.5810606,-121.493895,40.7596198,-111.8867975,36.1672559,-115.148516,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
4,Anhinga_anhinga,-27.3376114,-55.8669492,-25.3548171,-57.4427315,-25.2800459,-57.6343814,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
5,Athene_cunicularia,-43.2531242,-65.3094407,-51.6177331,-69.2059514,-51.64607595,-69.26322885,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
6,Aulacorhynchus_sulcatus,,,,,52.5132634,-2.078521587,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
7,Bubo_virginianus,14.1056861,-87.204676,13.8021629,-85.5464603,13.2455577,-86.4554189,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
8,Callipepla_californica,32.5010188,-116.964662,31.8658887,-116.6029835,23.0598364,-109.7025148,22.8938884,-109.9200604,19.36376855,-98.9463136,46.3144754,11.0480288
9,"Carpodacus_cassinii, (Haemorhous_cassinii)",24.833333,-104.833333,22.7745653,-102.5716148,22.5000001,-100.4949145,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
10,Cathartes_aura,-36.6203503,-64.2905765,-43.2531242,-65.3094407,-51.6177331,-69.2059514,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
11,Collocalia_esculenta,,,,,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
