,Bird,City1Latitude,City1Longitude,City2Latitude,City2Longitude,City3Latitude,City3Longitude,City4Latitude,City4Longitude,City5Latitude,City5Longitude,City6Latitude,City6Longitude
0,Aegotheles_cristatus,-2.916667,141.333333,-5.0,145.5,-6.7301976,147.0008109,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
1,Agelaius_phoeniceus,49.2608724,-123.113952,47.6038321,-122.3300624,47.2495798,-122.4398746,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
2,Alaemon_alaudipes,35.6892523,51.3896004,38.0739964,46.2961952,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
3,Alectoris_chukar,49.494891,-119.594421,49.8879177,-119.4959025,50.6758269,-120.339415,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
4,Anhinga_anhinga,32.0809263,-81.0911768,32.7876012,-79.9402728,30.3321838,-81.655651,39.7459468,-75.546589,46.3144754,11.0480288,46.3144754,11.0480288
5,Athene_cunicularia,35.3738712,-119.0194639,36.7295295,-119.70886126075588,37.7790262,-122.419906,37.3361905,-121.890583,46.3144754,11.0480288,46.3144754,11.0480288
6,Aulacorhynchus_sulcatus,10.506098,-66.9146017,6.2443382,-75.573553,10.9799669,-74.8013085,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
7,Bubo_virginianus,51.0460954,-114.065465,53.535411,-113.507996,49.2608724,-123.113952,61.2163129,-149.894852,46.3144754,11.0480288,46.3144754,11.0480288
8,Callipepla_californica,50.2668671,-119.2718157,49.8879177,-119.4959025,47.6571934,-117.4235106,47.6038321,-122.3300624,46.3144754,11.0480288,46.3144754,11.0480288
9,"Carpodacus_cassinii, (Haemorhous_cassinii)",47.6571934,-117.4235106,47.6038321,-122.3300624,50.2668671,-119.2718157,49.8879177,-119.4959025,50.6758269,-120.339415,46.3144754,11.0480288
10,Cathartes_aura,41.7655582,-72.69061276146614,41.81297055,-71.4214012516332,42.2625621,-71.8018877,42.3602534,-71.0582912,46.3144754,11.0480288,46.3144754,11.0480288
11,Collocalia_esculenta,32.2692452,75.6528858,34.0747444,74.8204443,32.7185614,74.8580917,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
12,"Collocalia_vanikorensis, (Aerodramus_vanikorensis)",7.794081650000001,125.35034681691707,16.412007,120.5933937,16.6915963,121.5478637,17.6118858,121.7300377,46.3144754,11.0480288,46.3144754,11.0480288
13,Coragyps_atratus,44.69282,-73.45562,44.4761601,-73.212906,42.9956397,-71.4547891,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
14,Coturnix_japonica,67.4948535,64.0399469,62.027287,129.732086,,,68.970665,33.07497,46.3144754,11.0480288,46.3144754,11.0480288
15,Cyanoramphus_novaezelandiae,23.7389846,-99.1441352,24.85300565,-99.41034185361012,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
16,Ducula_pistrinaria,-2.916667,141.333333,-5.0,145.5,-6.7301976,147.0008109,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
17,Ducula_zoeae,4.4730892,97.9681841,5.1789659,97.1480544,5.5528455,95.3192908,3.5896654,98.6738261,46.3144754,11.0480288,46.3144754,11.0480288
18,"Eremiornis_carteri, (Megalurus_carteri or Poodytes_carteri)",-19.2569391,146.8239537,-16.9206657,145.7721854,-12.46044,130.8410469,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
19,Eremophila_alpestris,45.4211435,-75.6900574,45.5031824,-73.5698065,46.8137431,-71.2084061,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
20,Erythrura_gouldiae,-19.2569391,146.8239537,-16.9206657,145.7721854,-12.46044,130.8410469,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
21,Eudyptula_minor,-19.2569391,146.8239537,-16.9206657,145.7721854,-12.46044,130.8410469,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
22,Geococcyx_californianus,40.5863563,-122.3916754,35.3738712,-119.0194639,38.5810606,-121.493895,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
23,Geopelia_cuneata,-19.2569391,146.8239537,-16.9206657,145.7721854,-12.46044,130.8410469,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
24,Geophaps_plumifera,-19.2569391,146.8239537,-16.9206657,145.7721854,-12.46044,130.8410469,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
25,Hemiphaga_novaeseelandiae,-42.0801236,145.5553843,-42.9140146,147.326445,-32.034332,147.7187884,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
26,Lonchura_fuscans,14.5907332,120.9809674,7.794081650000001,125.35034681691707,16.412007,120.5933937,16.6915963,121.5478637,17.6118858,121.7300377,46.3144754,11.0480288
27,Malurus_cyaneus,-28.0023731,153.4145987,-27.4689682,153.0234991,-26.5443222,153.0507705,-23.3782137,150.5134227,46.3144754,11.0480288,46.3144754,11.0480288
28,Melopsittacus_undulatus,40.5122388,141.4882959,40.886943,140.590121,41.768793,140.729008,43.061936,141.3542924,46.3144754,11.0480288,46.3144754,11.0480288
29,Myiopsitta_monachus,-19.0477251,-65.2594306,-17.7834936,-63.1820853,-17.401245799999998,-66.1676392078777,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
30,Nestor_notabilis,-36.852095,174.7631803,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
31,Phalacrocorax_auritus,47.950222,-124.386165,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
32,Philetairus_socius,-12.9104657,14.0356608,-12.3506867,13.5464318,,,-8.8272699,13.2439512,46.3144754,11.0480288,46.3144754,11.0480288
33,Pica_nuttalli,39.1404477,-121.6169108,40.5863563,-122.3916754,39.7284945,-121.8374777,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
34,"Pica_pica, (Pica_hudsonia)",64.837845,-147.716675,61.2163129,-149.894852,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
35,Plocepasser_mahali,16.0431989,36.0181112,13.6238244,25.3555559,14.3965781,33.5309561,15.5635972,32.5349123,46.3144754,11.0480288,46.3144754,11.0480288
36,Ptychoramphus_aleuticus,58.3019496,-134.419734,61.2163129,-149.894852,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
